ID :  57, Time : 245, Before :  2, After : 10
ID :  29, Time : 246, Before : 19, After : 16
ID :  58, Time : 246, Before :  2, After : 19
ID :  69, Time : 246, Before :  2, After :  3
ID :  57, Time : 247, Before : 10, After :  1
ID :  78, Time : 247, Before : 11, After : 16
ID :   9, Time : 248, Before : 15, After :  8
ID :  33, Time : 251, Before : 14, After : 17
ID :  38, Time : 252, Before :  3, After : 11
ID :   5, Time : 254, Before :  3, After : 16
ID :  48, Time : 258, Before : 15, After : 10
ID :   8, Time : 259, Before : 16, After : 13
ID :  78, Time : 259, Before : 16, After : 13
ID :  93, Time : 260, Before : 16, After :  7
ID :  97, Time : 260, Before : 16, After :  7
ID :  90, Time : 260, Before :  7, After : 19
ID :  94, Time : 260, Before : 13, After :  9
ID :  57, Time : 261, Before :  1, After : 10
ID :  67, Time : 261, Before : 16, After :  7
ID :  87, Time : 263, Before : 19, After :  7
ID :  27, Time : 264, Before :  2, After : 12
ID :  99, Time : 264, Before : 10, After : 11
ID :  33, Time : 264, Before : 17, After : 11
ID :  47, Time : 267, Before :  6, After :  9
ID :  57, Time : 267, Before : 10, After : 11
ID :  79, Time : 269, Before : 14, After : 11
ID :  35, Time : 269, Before : 17, After : 19
ID :  68, Time : 269, Before : 18, After :  5
ID :  15, Time : 270, Before : 16, After : 19
ID :  13, Time : 273, Before :  7, After :  6
ID :  47, Time : 273, Before :  9, After :  4
ID :   5, Time : 273, Before : 16, After :  3
ID :  24, Time : 274, Before :  2, After : 13
ID :  28, Time : 274, Before :  4, After : 11
ID :   4, Time : 275, Before :  2, After : 13
ID :  58, Time : 275, Before : 19, After : 12
ID :  90, Time : 275, Before : 19, After : 17
ID :  36, Time : 276, Before :  2, After : 12
ID :  20, Time : 276, Before : 16, After : 13
ID :  59, Time : 276, Before : 18, After :  5
ID :  52, Time : 277, Before :  2, After : 13
ID :  86, Time : 277, Before : 18, After : 11
ID :   3, Time : 277, Before : 13, After :  7
ID :  57, Time : 279, Before : 11, After :  1
ID :  85, Time : 282, Before :  7, After : 12
ID :  61, Time : 283, Before : 15, After : 12
ID :  36, Time : 284, Before : 12, After :  2
ID :  86, Time : 284, Before : 11, After : 14
ID :  87, Time : 285, Before :  7, After : 19
ID :  81, Time : 288, Before : 16, After : 17
ID :  90, Time : 289, Before : 17, After : 19
ID :  93, Time : 289, Before :  7, After : 16
ID :  22, Time : 290, Before :  8, After : 15
ID :  35, Time : 292, Before : 19, After : 17
ID :  26, Time : 293, Before :  5, After : 18
ID :  83, Time : 293, Before : 11, After : 16
ID :  72, Time : 293, Before : 13, After :  9
ID :  57, Time : 294, Before :  1, After : 10
ID :  13, Time : 294, Before :  6, After :  7
ID :  59, Time : 294, Before :  5, After : 15
ID :  92, Time : 294, Before : 13, After :  9
ID :  43, Time : 295, Before :  6, After :  7
ID :   4, Time : 295, Before : 13, After :  2
ID : 100, Time : 296, Before :  1, After :  4
ID :  75, Time : 296, Before :  6, After : 13
ID :  24, Time : 296, Before : 13, After :  2
ID :  91, Time : 297, Before :  5, After : 15
ID :  25, Time : 297, Before : 11, After : 16
ID :  18, Time : 298, Before :  1, After :  4
ID :  87, Time : 298, Before : 19, After : 17
ID :  75, Time : 298, Before : 13, After :  7
ID :  22, Time : 298, Before : 15, After :  8
ID :  79, Time : 301, Before : 11, After : 10
ID :  33, Time : 301, Before : 11, After : 17
ID :  18, Time : 304, Before :  4, After :  1
ID :  67, Time : 304, Before :  7, After : 14
ID : 100, Time : 306, Before :  4, After :  1
ID :  92, Time : 307, Before :  9, After :  5
ID :  57, Time : 308, Before : 10, After :  2
ID :  99, Time : 310, Before : 11, After : 10
ID :  91, Time : 311, Before : 15, After :  5
ID :  87, Time : 312, Before : 17, After : 19
ID :  85, Time : 314, Before : 12, After :  8
